会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせフォームURL
グローバルトランスポート株式会社,0,グローバルトランスポート株式会社は、自動車による貨物運送を行う会社である。集金、伝票処理、仕分け作業の含めた定期便をはじめスポット便、チャーター便などによる一般貨物運送を行う。日本国内を対象に鉄道・飛行機等の交通機関を利用したハンドキャリー便にも対応する。さらに、近畿エリアでの宅配事業、郵便物の収集、企業への配達、集荷業務も手掛ける。,"運輸・物流業界, 一般貨物輸送",〒 456-0051 東京都墨田区横川１丁目１１番５号,2011/2/3,川村 悦久,"10,000,000円","ハローワーク(就業場所愛知×事務職), 設立10年以内, indeed(要普通免許)",https://biz-maps.com/item/yP10EQgvlM,null
株式会社ミツミ,0,"株式会社ミツミは、貨物自動車運送業を行っている会社である。その他に自動車部品の輸出入に伴う卸売業及び小売業、梱包資材の加工業、貨物の梱包及び包装並びに、倉庫保管取扱事業を手掛けている。運営するミツミエクスプレスは安全安心迅速に対応し、貨物自動車運送業を主体に緊急2t,4tの貨物の対応まで行っている。","運輸・物流業界, 運輸・物流業界, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送, 一般貨物輸送",〒 189-0023 東京都小平市小川西町３丁目１０番４号,1972/8/19,小野 武人,"50,000,000円",中小企業庁(事業再構築補助金・第5回),https://biz-maps.com/item/XyYKMNKjlg,null
月島自動車交通株式会社,0,月島自動車交通株式会社は一般乗用旅客自動車運送事業を行う会社である。空港と各ゾーンを高速道路を利用して予め定められた運賃で送迎する空港送迎定額サービスがある。またハイブリッド車やクリーンディーゼル車を多数導入し地球環境の保全に努めたり、体が不自由な人が利用しやすい回転シート車両もある。そのほか品質マネジメントシステムISO9001認証を取得している。,"運輸・物流業界, タクシー",〒 125-0042 東京都江戸川区清新町１丁目４－５－２２０６,1950/8,山田 俊郎,"20,000,000円","グリーン経営, FROM40(製造・設備・運輸系)",https://biz-maps.com/item/3bZ93L2X15,null
有限会社井出運輸,0,コンテナ集配を行う会社,"運輸・物流業界, 一般貨物輸送",〒 123-0864 東京都板橋区徳丸６丁目８番１４号,1966/11,松永 州韶,"3,000,000円","中途採用を複数媒体で行っている企業, はたらいく(運送), ドラEVER掲載企業, はたらいく, ドラEVER掲載企業",https://biz-maps.com/item/D3Ybr7J7Yz,null
吉原鉄道工業株式会社,0,吉原鉄道工業株式会社は、鉄道に必要な線路の分岐器製品・踏切用品・鉄道通信用品を製造する会社である。吉原鉄道工業が造る部品の数は1万数千に上り、すべての製造工程において、コンピュータではなし得ない緻密な加工を熟練技術者の厳しい目で確認し、研ぎ澄まされた技で調整。転てつ付属装置の新幹線向けシェア100％。大正5年に国鉄より転てつ装置製作会社として指定されて以来、鉄道の安全と発展に貢献し続けている。,"運輸・物流業界, 鉄道",〒 170-0005 東京都北区田端６丁目１番１号,1939/1,小宮山 憲一,-,"BtoB業種, 設計・生産支援",https://biz-maps.com/item/5XY44jdrYE,null
株式会社梯陵,0,株式会社梯陵は、物流システム構築・テレビ中継技術補助の会社である。商品の保管・管理、梱包・発送代行などを手掛けている。テレビ中継の架設工事や技術補助にも対応している。また建物の解体や内装工事、竣工クリーニングを行っている。,"運輸・物流業界, その他運輸・物流, 倉庫",〒 170-0002 東京都千代田区富士見１丁目５番４号飯田橋磐梯ビル２階,1988/8,里 勇司,"10,000,000円",-,https://biz-maps.com/item/WBlxWQ9e18,null
巻田商事有限会社,0,巻田商事有限会社は主に産業廃棄物収集運搬業を事業としている企業である。一般貨物運送事業や貨物運送取扱事業、その他、不動産の管理並びに賃貸業も行っている。保有している車両はダンプ車を中心に13両で、取引先は中野区等である。 廃棄物を活かしての資源再生等環境に配慮した事業活動を行っている。,"その他サービス業界, 環境・廃棄物処理, 運輸・物流業界, 一般貨物輸送",〒 164-0013 東京都豊島区西巣鴨１丁目９番８号,1958/10,巻田 清司,"3,000,000円","運輸・運送, 運送業",https://biz-maps.com/item/PQ1pGRPYkg,null
