会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせフォームURL
ロジスティードエクスプレス株式会社,0,ロジスティードエクスプレス株式会社は、海上輸送・航空輸送を中心とした物流の会社である。日立物流グループの輸送事業を行う会社として設立された。国内における海上輸送だけでなく、海外からの輸入・三国間輸送なども対応している。また、国際航空貨物輸送サービスや、鉄道や工場の機械などの重量物の輸送なども行っている。,"運輸・物流業界, 海運",〒 104-6027 東京都中央区晴海1丁目8番10号晴海アイランドトリトンスクエアオフィスタワーX棟,2012/7/1,黒梅裕一,"1,000,000,000円","マイナビ2026(インターン募集企業×東京・千葉・神奈川検索), 運輸・物流関連企業@関東, 人事部署直通@関東, ゼロワンインターン, ゼロワン求人(長期インターン)@一都三県, マイナビ(事務職), 「くるみん」認定企業, 海外に拠点がある企業(売上100億～1000億)@一都三県・東名阪, ジェトロ農林水産物(野菜・果実加工品), Fun to Share賛同企業, 平均年収.com(運輸・物流系企業子会社), Sierグループ企業, 一般社団法人国際フレイトフォワーダーズ協会, マイナビ転職(社宅・家賃補助制度), 協会・組合, 系列会社",https://biz-maps.com/item/XyYK9Kalgr,
株式会社板橋運送,0,株式会社板橋運送は、一般貨物自動車運送事業、貨物利用運送事業、軽貨物自動車運送事業、産業廃棄物収集運搬業、特定信書便事業を行う。東京都内を中心に埼玉・神奈川への輸送・配送・集荷を担う。急な荷物に対応するスポット便やルート配送の定期便、荷物のスケジュールに合わせて貸し切るチャーター便、様々な荷物の大きさや数量に対応する小口配送など、運ぶ荷物のニーズに合わせた対応が可能。,"運輸・物流業界, 一般貨物輸送",〒 105-0013 東京都港区浜松町1丁目18番7号,1954/10/7,板橋 耕一郎,"10,000,000円","リサイクル・廃棄物処理, indeed(福利厚生)@神奈川, グリーン経営認証トラック業者, グリーン経営, 運輸・運送, 運送業",https://biz-maps.com/item/D0YL9dG19W,
アイユーシー株式会社,0,アイユーシー株式会社は、運送・引っ越しを行う会社である。物流トータルシステムの提供、イントラネット・LAN等のネットワーク構築/保守、トランクルーム機能を備えた倉庫での保管業務、企業・個人向けの引っ越しサービス、産業廃棄物の収集運搬、特定労働者派遣業、遺品整理事業を行う。本社・杉並引っ越しセンターで『ISO27001:2013』を取得している。,"運輸・物流業界, 冷凍冷蔵車運行",〒 167-0023 東京都杉並区上井草2丁目2番2号,1954/7/5,古川 賢一,"27,000,000円","求人ボックス(倉庫作業_東武東上線沿線), 内部統制・コンプライアンス推進企業, ISMS認証取得組織検索(クラウド), 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, ドラEVER掲載企業, 新製品・新技術開発助成事業, インスタ・Youtube活用企業, 運送業, 一括.jp(物流倉庫), 倉庫保有, ドラEVER掲載企業, 一括.jp",https://biz-maps.com/item/L4loezEnYv,
株式会社オリエンタル物流,0,株式会社オリエンタル物流は、商品の管理、梱包、発送、納品など物流全般業務を行う会社である。DMやチラシの作成、印刷から発送、顧客リスト作成の代行、伝票や封筒などビジネスフォームの印刷、販売促進の企画立案から、制作、印刷までの実施。イベント会場の企画、施工や看板・横断幕の作成など、各種請け負う。その他、Eコマース通販物流も対応している。,"運輸・物流業界, 倉庫",〒 120-0012 東京都足立区青井3-5-26,1990/11/1,佐藤栄男,"10,000,000円",アイミツ,https://biz-maps.com/item/V2lkboQ215,
ユニトランス株式会社,0,ユニトランス株式会社は航空貨物輸送業を行っている企業である。国際航空貨物輸送業務を行っているとともに、通関及び国内物流サービスをしている。主に航空運送状の発行や航空会社への貨物の搬入手続きを等を行うことができる。輸出、輸入それぞれの進行書類作成や税関への申告から許可取得までを通関士、通関従業員が担当することができる。,"運輸・物流業界, 空運, 倉庫",〒 144-0041 東京都大田区羽田空港1丁目8番2号羽田メンテナンスセンター2階,1971/4/6,大場邦夫,"50,000,000円","今年求人を行なっている企業, マイナビ2025, リクナビNEXT(物流・倉庫), リクナビNEXT(関西営業新着), マイナビ2023 (21年11月), BtoB業種, 海外進出企業、海外取引, ジャパンライフサイエンスウィーク2021, エン転職(掲載期間0203_0219), 平均年収.com(運輸・物流系企業子会社)",https://biz-maps.com/item/D0YLNP2Wl9,
ゑびす興運有限会社,0,ゑびす興運有限会社は、展示会・イベントの運送業務を総合プロデュースする会社である。普通貨物から超重量・大型まで運ぶことが可能である。その他にも、産業廃棄物収集運搬業やとび・土工工事業等を担う。保有車両は、トレーラー・トレーラーヘッド・大型増トン低床平ボディ等である。,"運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 143-0003 東京都大田区京浜島2-16-1 京浜島センタービル２F,1982/4/21,-,"13,000,000円","indeed(福利厚生)@神奈川, グリーン経営, 運送業, Wikipedia",https://biz-maps.com/item/mJY2yg5VZM,
矢倉倉庫株式会社,0,矢倉倉庫株式会社は物流サービスを行っている会社である。チャーター便・コンテナ輸送・路線便・宅配便・即日集荷などを行う輸送事業や、保管・荷役・加工などを行う倉庫事業、引っ越しサービスや文書保管サービス、人材請負サービス、コールセンターサービスを手掛けている。またソリューションデリバリーサービスも行っている。,"運輸・物流業界, 倉庫",〒 143-0006 東京都大田区平和島3-4-1 東京団地倉庫平和島管理棟内3階,/5,三好 將義,"15,000,000円","BtoB業種, リサイクル・廃棄物処理, 不動産サービス, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, グリーン経営認証トラック業者, グリーン経営, google(キッティング 倉庫), google(キッティング サービス), Google検索, 倉庫保有",https://biz-maps.com/item/PQ1pBy0zZk,
大田運輸株式会社,0,大田運輸株式会社は、貨物自動運送事業や貨物利用運送事業、倉庫業等を行う会社である。2トン・4トン・大型増トン・エアサス・ゲート車・ウイング車を保有して、一流企業の様々な輸送に対応している。主要取引先は、キリン物流株式会社や株式会社グリフィス、幸洋海運株式会社等である。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 143-0024 東京都大田区中央7-5-1,1953/5/19,橋村 玲子,"10,000,000円",運送業,https://biz-maps.com/item/x6YVmRmvZB,
興和ロジスティクス株式会社,0,興和ロジスティクス株式会社は、物流センターの管理運営業務を行っている企業である。医療用医薬品及び一般用医薬品の全国配送ネットワークの構築、自社開発をしたASP型物流管理システムによる迅速な対応、小売直販対応、在庫及び出荷量を意識した発注などを行う管理業務代行などを行う。指針や手順書の運用及び従業員の教育訓練などを行い、こまやかな品質体制を保っている。,"運輸・物流業界, 倉庫, 一般貨物輸送",〒 103-0023 東京都中央区日本橋本町3丁目4番10号,2012/1/5,山本文朗,"10,000,000円","BtoB業種, 設立10年以内, 人事ワールド, 運送業, google(加須・工場)",https://biz-maps.com/item/oP1D8MM61x,
ひかり産業株式会社,0,ひかり産業株式会社は、総合物流サービスを行う会社である。併せて、包装資材サービス・外食ビジネスサポート・求人情報サポート・サプライヤーメーカーサポート等を行っている。物流サービスでは食材・資材一元受発注配送サービスを提供しており、発注や仕入れの効率化による原材料費の安定化に寄与している点が強みである。,"運輸・物流業界, 一般貨物輸送, 紙類包装資材",〒 131-0045 東京都墨田区押上1-52-12,/1/11,神戸 淳,"80,000,000円",工場2拠点以上保有企業(東海3県に拠点有無)@全国,https://biz-maps.com/item/L4lo6xMn1v,
有限会社日新運輸,0,有限会社日新運輸は、一般貨物の収集運搬事業を行っている。食品から精密機器に至るまで、大切な製品を安全且つ丁寧に運搬。自社で冷蔵・冷凍車両を保有しており、徹底した品質管理の下での配送に努めている。また、ドライバーの安全に重点を置いた輸送プランが強み。主な取引銀行は、巣鴨信用金庫、三井住友銀行である。,"運輸・物流業界, 冷凍冷蔵車運行",〒 179-0076 東京都練馬区土支田3丁目26番2号,1978/10/1,福田 昭治,"20,000,000円","運送業, 運送Net",https://biz-maps.com/item/6p1Xd8oP1N,
名鉄ゴールデン航空株式会社,0,名鉄ゴールデン航空株式会社は、航空運送代理店事業を行っている企業である。1986年名鉄運輸における航空事業を譲受以来、日本国内のみならず国際貨物のネットワークを強みに貴重品及び試験問題等スピードと安全性が特に重要視される貨物輸送を行う。自社オリジナルトラッキングシステム「MERITS」による貨物の所在、輸送状況の徹底管理、他社員に対する教育まで安全・信頼に尽力する。,"運輸・物流業界, 空運, 一般貨物輸送",〒 136-0076 東京都江東区南砂7丁目12番4号東東京流通センターB棟6階,1969/12/8,鵜澤 清雅,"96,000,000円","今年求人を行なっている企業, マイナビ2025, 中途採用企業, 事業所数を20拠点以上保有している企業, 労働者派遣事業, 旅行代理店, 運送業, indeed(要普通免許)",https://biz-maps.com/item/b7lQdmO1r0,
株式会社フジエクスプレス,0,株式会社フジエクスプレスは、一般旅客自動車運送事業を行う企業である。港区コミュニティバスのちぃばす、渋谷区コミュニティバスのハチ公バス、横浜タウンバス、高速バス、貸切バス、定期観光バス、水陸両用バスのTOKYONOKABAを運行している。ウォークをテーマにしたバス旅行の、お気軽クラブを企画している。,"運輸・物流業界, バス",〒 108-0023 東京都港区芝浦4丁目20番47号,1997/9/8,茂木 一郎,"99,600,000円","今年求人を行なっている企業, マイナビ2025, 求人・転職・中途採用情報(募集人数10名以上), ただいま東京プラス加盟旅行会社, グッドデザイン賞受賞企業(2018～2021年), 中途採用を複数媒体で行っている企業, 平均年収.com(運輸・物流系企業子会社), 女の転職@type, リクナビNEXT(社宅・家賃補助制度あり), マイナビ転職(社宅・家賃補助制度), 協会・組合, バス, @TYPE",https://biz-maps.com/item/3bZ9njXY5m,
ティー・エム・ターミナル株式会社,0,ティー・エム・ターミナル株式会社は、石油製品、化学品、LPGなどの液体の保管、受払業務を請け負う会社である。タンクローリーやトラックなどの輸送の手配、ITを活用した情報管理、また品質管理や通関代行などの付帯サービスといったサービスを展開する。国内のみならず、タイ（バンコク）や中国（寧波）などアジアにも営業網を敷く。,"運輸・物流業界, 倉庫, データ入力・事務作業代行",〒 102-0072 東京都千代田区飯田橋三丁目8番7号辰巳ビル4階,2007/12/19,筒井 通晴,"100,000,000円","今年求人を行なっている企業, マイナビ2025, マイナビ2023 (21年11月), BtoB業種, 海外進出企業、海外取引, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, マイナビ2019(社宅・家賃補助制度あり)",https://biz-maps.com/item/0W1wbAkYB7,
すばる交通株式会社,0,すばる交通株式会社は、一般乗用旅客自動車運送事業を行っている事業である。212台のタクシー車両を保有しており、一般タクシー、観光タクシー、ハイヤーの運行を行う。また、車両運行管理請負業も手掛ける。旅行業を行う「すばるトラベル株式会社」、一般乗用旅客運送事業を行う「東京ワールド交通株式会社」が関連会社である。,"運輸・物流業界, タクシー",〒 121-0836 東京都足立区入谷7丁目16番23号,1953/3/23,森 崇,"35,000,000円","今年求人を行なっている企業, リクナビ2025, マイナビ2025, 東京都宅地建物取引業協会, 新卒採用を複数媒体で行っている企業, オファーBOX, タクシーサイト(全国で働けるタクシー会社), グリーン経営, インスタ・Youtube活用企業, 企業主導型保育事業ポータル(東京), リクナビ2020(営業), リクナビ2019(社内でBBQを実施している企業), リクナビ(社内イベントあり), FROM40(製造・設備・運輸系), タクシー",https://biz-maps.com/item/jg164oOZ9G,
平和タクシー株式会社,0,平和タクシー株式会社は、東京無線グループのタクシー会社である。顧客とともに歩み続け62年の歴史と安全・快適・切実の三つのコンセプトがある。タクシーの役割を全うするために、常に向上心を忘れることなく日々サービス提供に努めている。東京髙1を誇る東京無線タクシーとともに鉄道などがマネのできないドアtoドアのサービスの提供を続けている。,"運輸・物流業界, タクシー",〒 151-0061 東京都渋谷区初台2丁目11番9号,1955/2,広川 信夫,"20,000,000円","マイナビ2023 (21年11月), グリーン経営",https://biz-maps.com/item/gm1yR333lo,
日本運輸倉庫株式会社,0,日本運輸倉庫株式会社は、運送事業などを行う会社である。主な事業内容として、倉庫業、貨物自動車運送、貨物利用運送、通関業、日本貨物鉄道株式会社にかかる業務の受託、駐車場の運営管理、不動産の売買・賃貸・仲介・管理、貨車・コンテナの販売、防災機器・防災用品の販売、清涼飲料・果汁飲料・食品・たばこ・日用品・雑貨類の販売、廃棄物の処理及びその受託などを行っている。,"運輸・物流業界, 運輸・物流業界, 倉庫, 倉庫",〒 110-0015 東京都中央区日本橋室町4丁目3番16号 (柳屋太洋ビル6F),1949/1,柏井　省吾,"300,000,000円","東京都宅地建物取引業協会, BtoB業種, リサイクル・廃棄物処理, 不動産サービス, 事業所数を20拠点以上保有している企業, 平均年収.com(運輸・物流系企業子会社), 物流, 東京倉庫協会, 運送業, 冷蔵倉庫保有, 倉庫保有",https://biz-maps.com/item/jg16vAzx19,
八千代運輸有限会社,0,八千代運輸有限会社は一般貨物運送業を行う。箱車や平車・冷凍車・ロング車・ワイド車・ウィング車など多彩な車種の車両を保有し、展示会利用資材・シリンダー・建材・食品などの運送に取り組む。また321坪の併設する倉庫で顧客の荷物を保管し、責任をもって日本全国に輸送。スポット便や定期便・企業専属便など幅広いニーズに応えられるのが強み。,"運輸・物流業界, 運輸・物流業界, 一般貨物輸送, 一般貨物輸送",〒 121-0823 東京都足立区伊興1丁目6番20号,1969/3/27,吉本 商一,"10,000,000円",運送業,https://biz-maps.com/item/XJ1GMDz3ZQ,
東栄商事株式会社,0,東栄商事株式会社は、トランクルーム、貸倉庫を運営する会社である。国土交通省の認定する「優良トランクルーム認定マーク」を取得、屋内型の耐震・耐火・定湿倉庫、少量でも当日対応OK、カンタン契約、豊富な保管メニュー、スタッフの出入庫代行サービス、国道沿いで大型車も出入り可能など、7つの安心・便利なサービスが強みである。,"運輸・物流業界, 運輸・物流業界, 倉庫, 倉庫",〒 173-0001 東京都板橋区本町15番20号,1961/2/1,武居 弘市,"30,000,000円","東京都宅地建物取引業協会, 倉庫保有, マピオン倉庫保有企業, 倉庫保有",https://biz-maps.com/item/kVZEp8nwlE,
東京協同タクシー株式会社,0,東京協同タクシー株式会社は、同じ意志をもつ同士が板橋で立ち上げたタクシー会社である。60年以上の歴史をもち、東京タクシーセンターランクAAの評価を常に得ている。現在150名の幅広い年齢層の運転手が在籍し、会社一丸となって協力して業務を行っている。時代とともに取り巻く環境が変わっても、人同士のつながりを大切にする組織を目指している。,"運輸・物流業界, タクシー",〒 174-0076 東京都板橋区上板橋3丁目25番3号,1952/8/24,船橋 昌子,"20,000,000円","ドラEVER掲載企業, ドライバー求人, タクシーサイト(全国で働けるタクシー会社), FROM40(製造・設備・運輸系), タクシー",https://biz-maps.com/item/D3YbVz57Yz,
日本物流開発株式会社,0,日本物流開発株式会社は物流業務全般のオペレーションサービスとカスタマーサービスを行う会社である。東京都板橋区に本社を構え、埼玉県、茨城県に営業所を置いている。軽貨物運送事業、貨物利用運送事業の他、保存・在庫管理・棚卸しを行う。また、化粧品、医薬部外品の包装・表示・保管、システム・顧客業務支援システム作成も行う。,"運輸・物流業界, 倉庫",〒 174-0042 東京都板橋区東坂下2丁目7番7号,1990/11/26,川底 宏至,"27,000,000円","今年求人を行なっている企業, リクナビ2025, マイナビ2025, 楽天出店社, 税理士・公認会計士, オフィスサービス, 東京倉庫協会, ONE CAREER(IT・通信), 一括.jp(物流倉庫), 倉庫保有, 一括.jp",https://biz-maps.com/item/L3Z7gGaoZO,
株式会社リョウエイ物流,0,株式会社リョウエイ物流は、印刷物や飲食料品などの荷物の輸送を行っている会社である。時代が求めているスピーディーな輸送を心掛け、顧客企業に120％満足してもらえるようなサービスの提供を目指している。全国配送システムにより、顧客の希望する時間に全国どこへでも安全に、確実に配送しており、オンラインシステムで共同配送を実施し、コストを削減している。,"運輸・物流業界, 冷凍冷蔵車運行",〒 175-0083 東京都板橋区徳丸6丁目7番8号,/8/1,砂永 篤志,"30,000,000円",運送業,https://biz-maps.com/item/gm1yRdnblo,
グリーンロジテック株式会社,0,グリーンロジテック株式会社は、リサイクル事業を行う会社である。古紙類や機密文書なども受け入れる事ができるが、その背景には自社で車両を所有しており、運搬から処理までを行っているのが特徴だ。また、廃棄だけではなく自社で倉庫なども所有しているので在庫や梱包、さらには輸出作業までも行う。,"小売・卸売業界, 古本・リサイクルショップ, 古本・リサイクルショップ, 倉庫, 倉庫",〒 174-0043 東京都板橋区坂下3丁目34番3号,/12/21,坪野谷 悟輝,"30,000,000円","youtube, オフィスセキュリティ, リサイクル・廃棄物処理, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県",https://biz-maps.com/item/b7lQkWgaYr,
株式会社エフサービス,0,株式会社エフサービスは、一般貨物自動車運送業・引越し・倉庫保管業・梱包資材販売などを行う。イベント什器や一般貨物の運送を行っており、関東近郊から日本全国への輸送を手掛けている。また、自社の倉庫を所有しており、貨物の保管を短期・長期問わず受付けていることや、倉庫内での梱包や組立などの流通加工、ピッキング作業にも対応している。,"運輸・物流業界, 一般貨物輸送",〒 121-0073 東京都足立区六町1-13-30,1990/10,福田 茂途,"15,000,000円",ドライバー求人,https://biz-maps.com/item/RDZa28QYAb,
株式会社エアーポートカーゴサービス,0,株式会社エアーポートカーゴサービスは航空貨物取扱業、内容点検・梱包・自動車運送取扱・軽車両等運送業を展開する会社。主に技術力と専門知識を強みとした航空貨物の上流から下流までの全工程において手がけている。顧客の課題に柔軟に対応すると共に、顧客ニーズに適したグローバルな総合物流サービスを提供している。,"運輸・物流業界, 一般貨物輸送",〒 103-0023 東京都中央区日本橋本町3-7-2 (MFPR日本橋本町ビル 6階),1971/10/1,小池 健治,"360,000,000円","有料職業紹介事業@一都三県, 求人ボックス(一般事務×契約社員×東京), 第16回東京総務・人事・経理Week2021(来場者), マイナビ(事務職), 働き方改革EXPO2021(来場者), グローバル化推進企業, 海外進出企業、海外取引, 人材派遣会社(職業紹介会社), 運送業, マイナビ女性のお仕事",https://biz-maps.com/item/3bZ9Mm2Z5m,
矢萩運輸株式会社,0,矢萩運輸株式会社は、一般貨物運送事業及び倉庫事業を行う会社である。総合配送システムにより、関東一都六県に自社の車で一斉に配送・納品。全車両に携帯電話を配備し、即日対応する。主要取引先は、DIC株式会社、DICグラフィックス株式会社、日立物流ファインネクスト株式会社、島貿易株式会社、株式会社DNPロジスティクス、日通NECロジスティクス株式会社、稲畑産業株式会社、株式会社尾関、他16社。,"運輸・物流業界, 倉庫, 倉庫, 一般貨物輸送, 一般貨物輸送",〒 101-0047 東京都千代田区内神田3丁目5番3号 矢萩第二ビル2F,1950/10/13,檜山　高志,"97,000,000円","人事部署直通@関東, リサイクル・廃棄物処理, 不動産サービス, 新製品・新技術開発助成事業, グリーン経営, 運送業, 倉庫保有",https://biz-maps.com/item/D3YbVo7mYz,
イヌイ運送株式会社,0,イヌイ運送株式会社は、一般貨物自動車運送事業を行う会社である。企業を対象にした転勤引越と事務所移転を二本柱としている。転勤引越は社宅の物件案内やコスト管理などを提案。事務所移転は備品の館内移転を含めた年間約800件の実績から、マスタースケジュール管理や移転コスト削減などの提案をワンストップで提供する。,"その他サービス業界, 引越し, 引越し, 一般貨物輸送, 一般貨物輸送",〒 135-0062 東京都江東区東雲2-1-10,1968/1/18,乾 隆志,"385,500,000円","youtube, グリーン経営, 運輸・運送, 運送業, 引っ越し業者・全国",https://biz-maps.com/item/B2lvQqX1VJ,
インターナショナル・カーゴ・サービス株式会社,0,インターナショナル・カーゴ・サービス株式会社は、航空物流事業を手がける企業である。昭和62年設立。事業内容は、航空機部品の輸出入に関わるハンドリング業務などのエアラインサポート、免税品やセキュリティ機器になどの空港サポート、輸出入通関・保税手続・倉庫保管・国際物流管理サービスなど多角化ビジネス他、多岐にわたる。,"運輸・物流業界, 空運, 空運, 倉庫, 倉庫",〒 144-0041 東京都大田区羽田空港3-5-5 ANAコンポーネントメンテナンスビル(CMB),1987/10,春木 崇志,"30,000,000円","今年求人を行なっている企業, リクナビ2025, マイナビ2025, BtoB業種, 海外進出企業、海外取引, 新卒採用を複数媒体で行っている企業, 平均年収.com(運輸・物流系企業子会社), 物流, 公益社団法人日本ロジスティクスシステム協会, 一般社団法人日本3PL協会, リクナビ2019(社内でBBQを実施している企業), リクナビ2017, リクナビ、マイナビ2017",https://biz-maps.com/item/6p1XoJjYNa,
ＪＰロジネット株式会社,0,JPロジネット株式会社は、一般洋紙や板紙の配送事業などの販売物流、倉庫業や断裁等の流通加工、製紙パレット回収や物流情報システム構築、物流コンサルティング業務を行っている会社である。紙パルプ専門商社で長年にわたって培ってきたノウハウを企業に提供し、最適なロジスティクスを実現している。グループネットワークを活用して情報発信する物流会社を目指している。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 104-0054 東京都中央区勝どき3丁目12番1号フォアフロントタワー4F,2000/4/1,有馬 健,"70,000,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 物流, 公益社団法人日本ロジスティクスシステム協会, 運送業, 一般社団法人日本倉庫協会, 協会・組合, 倉庫保有",https://biz-maps.com/item/KL1mNQgly7,
株式会社美翔,0,株式会社美翔は、ラベルシール貼りや封入・封緘、サンプリングキットの作成などの加工作業から梱包・発送まで行う会社である。手加工専用作業所を自社倉庫内に設け、ノベルティの各種加工・アクセサリー類のセット加工等、様々な加工作業サービスを手掛ける。そのほか小売店の店舗備品やメーカーの製品・商品を保管・在庫管理するサービスも展開する。,"倉庫, 運輸・物流業界, 倉庫",〒 133-0073 東京都江戸川区鹿骨4丁目18番5号,1998/6/24,仲村 章源,"10,000,000円",youtube,https://biz-maps.com/item/0mlzEEBK1O,
つるとみ運輸株式会社,0,つるとみ運輸株式会社は、一般貨物自動車運送事業と貨物運送取扱事業をする。自社所有の2tから大型まで様々なタイプのトラックを駆使し、優良ドライバーにより安全で迅速、確実な運搬を行う。昭和42年設立より長く培った経験と知識とノウハウで、梱包から運送、納品までニーズに合った提案もする。主な取引先には、濃飛倉庫運輸株式会社、ネグロス電工株式会社 、株式会社メリーチョコレートカムパニー等多数ある。,"運輸・物流業界, 一般貨物輸送",〒 132-0003 東京都江戸川区春江町2-17-11,1984/8/3,安田 光雄,"10,000,000円","新製品・新技術開発助成事業, 運送業",https://biz-maps.com/item/yP10Xq801M,
関東運送株式会社,0,関東運送株式会社は、一般貨物自動車運送事業や自動車貨物運送事業を手掛けている会社である。各種産業ガスの配送を行っており、様々な用途に応じて、酸素や窒素、アルゴンやその他特殊ガスなどをシリンダでバラ配送して設置している。設立より55年以上「安全を運ぶ」をモットーに、地域と社会の健全な発展のために活動している。,"運輸・物流業界, 冷凍冷蔵車運行, 冷凍冷蔵車運行, 一般貨物輸送, 一般貨物輸送",〒 134-0084 東京都江戸川区東葛西5丁目51番11号,/6/4,関 敏之,"10,000,000円","ドライバー求人, 運送業",https://biz-maps.com/item/vx1jQnWpYG,
藤島運輸株式会社,0,藤島運輸株式会社は、関東圏を中心に書店やコンビニエンスストア・スーパー・病院等への出版物の配送を行う会社である。主に常温品を取り扱い、運送だけでなく保管・梱包・発送まで請け負う物流サービスを提供。また、食品・菓子類の配送業務も手掛ける。その他、企業向けの物流の外注化を展開し、コスト削減や効率化を提案。,"運輸・物流業界, 一般貨物輸送",〒 133-0061 東京都江戸川区篠崎町4丁目10番4号,1966/3/25,綿谷佐江子,"10,000,000円","新製品・新技術開発助成事業, 運輸・運送, 運送業",https://biz-maps.com/item/mJY2yypMZM,
株式会社トキワ,0,株式会社トキワは、物流に関するコンテナ受入や保管・管理、加工・梱包等を行う会社である。シュリンク包装機や検針機等の充実した設備を有しており、857坪の広大なスペースで作業にあたっている。また、各種配送伝票の作成やデータメンテナンス作業、顧客への情報提供サービスにも携わっている。その他、製品の地方発送業務や都内・近郊への配送代行を行っている。,"運輸・物流業界, 倉庫",〒 174-0063 東京都板橋区前野町2丁目18番2号,1982/11/1,八木澤 憲人,"20,000,000円",-,https://biz-maps.com/item/PQ1pBw98Zk,
コスモ運輸株式会社,0,コスモ運輸株式会社は、主に輸送・運輸を行っている会社である。埼玉県内に2か所の配送センターを構えており、埼玉を中心に、東京、千葉、茨城、神奈川などのエリアに対応している。コスト削減と商品価値向上をモットーに、製本から建材資材、家具類まで様々な品物のルート配送を請け負っている。主要取引先に、製本会社、印刷会社などがある。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 112-0013 東京都文京区音羽2-4-2 ノーブル音羽304,1975/1/1,田澤 功,"10,000,000円","youtube, 運輸・運送, 運送業",https://biz-maps.com/item/jVYqJKPN1J,
株式会社葵,0,株式会社葵は、軽貨物自動車運送事業を営んでいる会社である。西東京や東大和に営業所があり、一般貨物自動車運送事業や引越運送事業なども手掛けている。丁寧に、迅速に、確実にというモットーと現在の配送、そして未来へという考えで業務に取り組んでいる。主な取引先は、佐川急便株式会社やサカイ引越センター株式会社などである。,"運輸・物流業界, 一般貨物輸送",〒 359-1153 東京都東大和市中央２丁目８５９番地の３,2010/1/26,叶谷昌次,"10,000,000円",-,https://biz-maps.com/item/O2lgp253Zn,
ロジスティード東日本株式会社,0,ロジスティード東日本株式会社は、運送業や倉庫業など物流事業を行う会社である。物流事業大手の日立物流の子会社であり、茨城県及び東北6県での物流業務を担っている。一般貨物はもとより、重量品から精密機械まで、様々な貨物の輸送や入出庫管理、発送業務を行っている。また、ITを活用した最適な物流の提供にも力を入れている。,"運輸・物流業界, 一般貨物輸送",〒 317-0077 東京都台東区上野１丁目１９番１０号,1962/4,小田切 仁,"100,000,000円","マイナビ2026(インターン募集企業×東京・千葉・神奈川検索), 今年求人を行なっている企業, マイナビ2025, ハローワーク(事務職採用×一都三県), マイナビ2023 (21年11月), CSRに力を入れている企業, リサイクル・廃棄物処理, 事業所数を20拠点以上保有している企業, 平均年収.com(運輸・物流系企業子会社), グリーン経営, 運送業",https://biz-maps.com/item/XyYKmdx5lg,
株式会社ヒバリ,0,富士タクシー有限会社はタクシー旅客を行っている会社である。営業区域は盛岡交通圏であり、一般的なプリウスやコンフォート車両で一般タクシー業とともに観光ルートを用意している。観光コースは、岩手復興応援ツアー・盛岡市内観光コース・盛岡ロケ地めぐりコース・小岩井農場観光コース・花巻・遠野観光コース・平泉・一関観光コース・三陸海岸観光コース・秋田方面観光コース・青森方面観光コースなど様々である。,"運輸・物流業界, タクシー",〒 020-0016 東京都千代田区丸の内３丁目４番１号,1955/9,吉野 史彦,"4,600,000円","タクシーサイト(全国で働けるタクシー会社), タクシー",https://biz-maps.com/item/WQ18mdELl7,
株式会社セキレイ,0,盛岡タクシー株式会社は、タクシー事業を行っている会社である。盛岡市におけるタクシー業界の草創期ともいえる大正13年に創業したのがはじまりで、人々の足として移動を支えている。また、自家用車が普及しタクシーに乗る機会が減った今だからこそ、もっと便利でもっと快適なタクシーというサービスを提供するために今日も頑張っている。,"運輸・物流業界, タクシー",〒 020-0025 東京都千代田区丸の内３丁目４番１号,1953/4/1,吉野 史彦,"10,000,000円","全国タクシー(タクシー事業者), タクシーサイト(全国で働けるタクシー会社), タクシー",https://biz-maps.com/item/PQ1p6Jy9Zk,
ザ・オリエンタルバス株式会社,0,貸切バスの運行を行う会社,"運輸・物流業界, バス",〒 061-1264 東京都港区東新橋１丁目１番１９号ヤクルト本社ビル１１階,2014/9,森田 伸,"7,000,000円",-,https://biz-maps.com/item/3MYneQn9Z7,
