会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせURL,問い合わせフォームURL
丸伊運輸株式会社,0,丸伊運輸株式会社は、塗装配送、倉庫業、梱包業、不動産の賃貸を行う会社である。特にペンキの輸送に特化しており、また保管(保管、配送、梱包)と輸送の業務を一元して行うことでお客様のニーズに対応できることが強みである。迅速・確実・親切・丁寧をモットーにし、小口貨物輸送を展開。,"運輸・物流業界, 一般貨物輸送",〒 578-0957 神奈川県横浜市中区太田町６丁目８４番地２大樹生命横浜桜木町ビル６階,1950/11/15,青木 数磨,"38,000,000円",-,https://biz-maps.com/item/0mlzkqnMZO,,http://www.maruiunyu.co.jp/contact.html
株式会社鴻巣植物運輸,0,株式会社鴻巣植物運輸は一般区域貨物自動車運送事業などを行っている会社である。昭和59年6月6日に設立し、愛知県田原市に本社を構える。独自のネットワークで、全国の生産農業から花市場まで、運行を行っている。独自のネットワークにより、市場にて購入のあった花きを素早くピックアップし、迅速に、店舗や施設などに向けて対応を行っている。,"運輸・物流業界, 一般貨物輸送",〒 441-3501 埼玉県鴻巣市寺谷１２５番地,1984/6/6,石川 英樹,"30,000,000円",-,https://biz-maps.com/item/bdlA69QRZv,,http://ftk1187.co.jp/contact/
日通湘南物流株式会社,0,日通湘南物流株式会社は、日本通運株式会社の横浜統括支店管内の現業として、各支店の運送業務・倉庫内荷役業務・荷造り業務等を行う会社。顧客のニーズに合った様々な種類の車両を使用できることが特徴。全国日本トラック協会に加盟している。また、駐車場管理業務も行う。その他、一般労働者派遣事業や、産業廃棄物運搬収集事業等も手掛けている。,"運輸・物流業界, 一般貨物輸送, その他業務請負",〒 247-0061 神奈川県平塚市西真土２丁目１－１４,1976/2/2,上地康司,"30,000,000円",運送業,https://biz-maps.com/item/KL1mK7q7Zy,,
ランパックＴＣ株式会社,0,ランパックTC株式会社は、配送サービスを行う会社である。2010年設立、神奈川県川崎市川崎区に本社を、横浜市港北区に港北センターを置き、依頼先メーカーと協力会社・納品配送先を結ぶ物流ソリューションを提供する。業務委託で独立開業をする人を対象に説明会を開催し、車両の無料貸し出しなどのサポートも行っている。,"運輸・物流業界, 一般貨物輸送",〒 210-0823 神奈川県横浜市都筑区仲町台４丁目１番２号,2010/2,波多 欣也,"30,200,000円","運送業, indeed(要普通免許), indeed",https://biz-maps.com/item/0W1wpN75lB,,
井上店舗設備株式会社,0,井上店舗設備株式会社は関東地方を中心にスーパーやコンビニの魚や肉・野菜を陳列するショーケースの運搬から設置、また冷凍機器設置を行う企業である。「正確・敏速・丁寧」をモットーにメーカー・配管・装飾の他業種が連携している。また社員はフロンガス回収やガス溶接許可・高所作業車などの資格を取得している。,"その他サービス業界, その他サービス, 一般貨物輸送",〒 125-0062 埼玉県八潮市大字南川崎５７４番地１,1989/4/20,井上 勲,"10,000,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, ハローワーク(外国人)@東京・栃木・埼玉, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 運送業",https://biz-maps.com/item/qKYMbj91gJ,,https://inouetenpo.com/inquiry/
金子運送株式会社,0,金子運送株式会社は、トラック運送に取り組んでいる会社である。取り扱っている荷物は主に建設用の資材・部材・機材・製品であり、この他に各種機械器具の運搬や設置も行う。「最新の荷重計を装着した、移動式クレーンのある車両を導入する」など徹底した安全管理から、「安全性優良事業所」としてGマークを取得しているのが特徴である。,"運輸・物流業界, 重量物輸送, 倉庫",〒 121-0831 埼玉県さいたま市岩槻区美園東２丁目１６－２２ＡＲＯＮＡｃｏｕｒｔ美園１０１号,1978/6,金子永,"30,000,000円","今年求人を行なっている企業, リクナビ2025, 運送業",https://biz-maps.com/item/WBlxeqyZ8a,,http://www.kaneko-transp.co.jp/contact.html
株式会社丸喜運輸,0,株式会社丸喜運輸は、貨物運送業を行っている会社である。その他に荷物取扱業、倉庫業を手掛けている。生産地と販売の現場を結ぶ安心、安全なパイプラインとして、冷凍車、冷蔵車、保冷車など計70台以上を揃えている。新鮮なものを新鮮なまま、商品の新鮮さを大事に、配送する食品に合わせた適切な温度管理のもと顧客のニーズに合わせ運送する。,"運輸・物流業界, 冷凍冷蔵車運行",〒 177-0051 埼玉県所沢市東所沢４丁目１９番地１１,/10,田中 喜久男,"20,000,000円",-,https://biz-maps.com/item/kDZrkMnyYG,,
株式会社トーハンロジテックス,0,東販自動車株式会社は、輸送業務を行う会社である。1958年会社設立。トーハングループの一員であり、グループの物流関連事業部門に属する。グループの親会社で、各種出版物や音楽・ゲームソフトなどを取次販売している『株式会社トーハン』の書籍や雑誌などのトラックによる輸送業務を行っている。他に電報事業なども手掛けている。,"運輸・物流業界, 一般貨物輸送",〒 174-8737 埼玉県桶川市大字上日出谷１２０２番地の１,1958/1/23,栃木 裕史,"90,000,000円","新規事業開発企業, キャンペーン実施企業, 学校施設・サービス, 運送業",https://biz-maps.com/item/kVZEBJjmYE,,https://www.tohan-logi.co.jp/contact/
大聖陸運株式会社,0,大聖陸運株式会社は貨物自動車運送事業を行う会社である。東京都品川区に本社を構え、千葉県に支店を置いている。大型トラクタ42台、トレーラー98台、4tウイング4台の144台を所有している。東京港をメインとした配送で、海上コンテナ輸送を行っている。東京港は日本を代表する港で一番輸出･輸入量が多く、日本の輸出･輸入を支える役目を担っている。,"運輸・物流業界, 一般貨物輸送",〒 104-0033 千葉県八街市八街い５１番地３２,/6/1,山元 憲明,"10,000,000円","有料職業紹介事業@一都三県, 海外進出企業、海外取引, 運送業, google(海上コンテナ・千葉)",https://biz-maps.com/item/qJ15m4pL1P,,https://daisei-rikuun.com/contact/
株式会社ＫＥＮＳ,0,株式会社KENSは商品の検品・検針業務を行う企業である。主な事業内容は販促物全般の検品・検針・X線検査・セットアップ作業、ビール・菓子・カタログギフト等のギフトセットの包装・箱折り作業、封筒・化粧箱・販促什器の製作、物流発送、倉庫保管等。年間1000以上の商品アイテムを検品・検針しており、豊富な商品知識や実績、経験が強み。,"運輸・物流業界, 倉庫",〒 104-0061 千葉県八千代市島田台９８５番地,2013/3/1,佐久間 賢治,"10,000,000円",-,https://biz-maps.com/item/qKYMaqMrYg,,http://kens-ltd.com/contact/index.html
株式会社高塚商事,0,株式会社高塚商事は、輸出入業務を行っている会社である。主な事業内容として、梱包事業・輸出入一貫管理システムの提案が挙げられる。顧客に対し、荷物の内容に関わらず梱包には細心の注意を払い作業を行っている。また、必要最小限の梱包資材を最大限に有効利用することで、低コストで安全・確実な梱包サービスを提供している。,"運輸・物流業界, 倉庫, 倉庫",〒 287-0801 千葉県山武郡芝山町岩山１４８番地１５,/3,高塚 慎吾,"10,000,000円",youtube,https://biz-maps.com/item/jVYqXGjPZJ,,http://takatuka.co.jp/contact.html
有限会社房総エキスプレス,0,有限会社房総エキスプレスは、貸切バス事業を行っている会社である。簡単な送迎から合宿や観光まで、用途に応じた大きさのバスが揃っている。トラベル業も行っているため、自社企画でのバスツアーも開催できるのが強みである。また、レンタカー事業も行っており、10分100円からでレンタルできる「100円レンタカー」の加盟店でもある。,"運輸・物流業界, バス, 旅行",〒 292-0825 千葉県木更津市羽鳥野２丁目１０番地６,1999/10,溝口 篤志,"3,000,000円",-,https://biz-maps.com/item/WBlxK7rw18,,http://boso-ex.com/contact/
ビー・カーゴワークス株式会社,0,ビー・カーゴワークス株式会社は、配送サービスを行う会社である。東京をはじめとした関東圏から名古屋・大阪を繋ぐ範囲において、自社育成ドライバーによる独自の配送システムを展開している。ラストワンマイル便、企業専属便、スポットチャーター便など顧客の事情に対応した多様な配送形態を用意し、適正なコストで質の高い配送サービスを行っている。また配送専用の自社倉庫を保有している。,"運輸・物流業界, 一般貨物輸送",〒 273-0023 千葉県松戸市松戸２２９９番地の７,2008/4/23,波田 雅文,"10,000,000円","求人・転職・中途採用情報(募集人数10名以上), キャリコネ(千葉県の企業ランキング), ドラEVER掲載企業, Google検索(中途採用), youtube, リサイクル・廃棄物処理, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, はたらいく(運送), 運送業, はたらいく",https://biz-maps.com/item/Vo1edA3mYW,,https://www.bee-cargo-works.co.jp/contact/
株式会社キムラヤフレッシュライン,0,株式会社キムラヤフレッシュラインは、一般貨物自動車運送事業の会社である。木村屋總本店の原材料の資材配送とパン商品のルート配送、センター配送、木村屋總本店以外の物流サービスが事業内容である。安全対策として、デジタルタコグラフの導入・運行前後のアルコールチェック・安全運転講習会の実施を定期的に行っている。,"運輸・物流業界, 一般貨物輸送",〒 354-0043 千葉県柏市新十余二１４番地１,1990/7,石川幹也,"30,000,000円",運送業,https://biz-maps.com/item/0mlz2PWBlO,,
ニコム物流株式会社,0,ニコム物流株式会社は、一般区域貨物自動車運送事業や自動車運送取扱事業を行っている会社である。大型や普通貨物車まで、自社の車輌にて配送を行っている。建材や鋼材などの常温食品、飲料水や雑貨まであらゆる品目の輸送が可能である。豊富な車種を取り揃えており、様々な輸送品目に対応できるのがニコム物流株式会社の強みである。,"運輸・物流業界, 一般貨物輸送",〒 340-0801 埼玉県草加市青柳６丁目３７番９号,1975/7/7,村山 隆,"10,000,000円",運送業,https://biz-maps.com/item/WX1Ne9P4Yj,,
株式会社丸輝ライン,0,株式会社丸輝ラインは、遊技機・精密機械の運送業を営む会社である。パチンコやスロットの遊技台を店舗に配送する業務を手掛ける。ホールのニーズに応え、メーカーの遊戯台を混載配送することで、運送費の削減を提案。廃棄処分品を独自のルートでの低価格提供が可能。翌日配送の要望に対応。荷物や納品場所に応じた保管・梱包・設置作業を請け負う。,"運輸・物流業界, 一般貨物輸送, 引越し",〒 353-0002 埼玉県さいたま市浦和区大東３丁目１１番１号,2012/6,大渕 義之,"9,000,000円","ドラEVER掲載企業, 設立10年以内, 働き方改革, オフィスリニューアル, ドラEVER掲載企業, ドラEVER掲載企業",https://biz-maps.com/item/Vo1egzDeZW,,https://www.marukiline.co.jp/contact.html
株式会社加藤物流,0,株式会社加藤物流は、一般貨物運送事業や倉庫管理などを行っている会社である。埼玉、千葉、栃木に営業所を置き、デジタコが装備された車輛による迅速な輸配送などを業務としている。主要取引先は、株式会社丸和運輸機関、国分プレス工業株式会社、角田無線電機株式会社など。,"運輸・物流業界, 重量物輸送, 倉庫",〒 340-0006 埼玉県越谷市瓦曽根２丁目６番３４号ＲＳビル２０４号室,/4,加藤 茂,"20,000,000円","ハローワーク(事務職採用×一都三県), 運送業",https://biz-maps.com/item/kVZEaM3aZE,,https://kato-logi-co-jp.secure-web.jp/contact
株式会社セカンドステージ,0,株式会社セカンドステージは、一般貨物自動車運送事業を営んでいる会社である。他に、労働者派遣事業や利用運送事業なども手掛けている。本社以外に、埼玉営業所や千葉営業所など複数の営業所がある。「最高の運送業ではなく、最高のサービス業」というコンセプトのもと事業に取り組んでいる。主な取引先はアートバンライン株式会社や株式会社アップルなどである。,"運輸・物流業界, 一般貨物輸送, 引越し",〒 359-0046 埼玉県さいたま市南区白幡５丁目６－２０,2012/9,児島豪,"10,000,000円","有料職業紹介事業@一都三県, 求人ボックス(海上コンテナの仕事×東京・神奈川検索), 人材サービス総合サイト掲載@東北・栃木・埼玉",https://biz-maps.com/item/yP10aze6lM,,https://sstage.jp/contact/
株式会社相馬輸送,0,株式会社相馬輸送は、一般区域貨物自動車運送事業を行う会社である。自動車運送取扱業や貨物軽運送事業、産業廃棄物収集運搬業、梱包業を担う。急ぎの一台から物流システム全体まで、安心と信頼を確実に届ける。10トン低床や10トン高床等、合計153台を保有する。,"運輸・物流業界, 一般貨物輸送, 環境・廃棄物処理",〒 359-0012 埼玉県さいたま市中央区上落合５丁目１７番１－３００５号,1975/5/9,髙橋 至,"30,000,000円","人事部署直通@関東, 働き方改革・ダイバーシティー推進企業, 内部統制・コンプライアンス推進企業, PR・ブランディング支援, IoT, AI・ロボット, リサイクル・廃棄物処理, 運送業",https://biz-maps.com/item/oP1D56j6lx,,http://somaexpress.co.jp/contact
株式会社ウインカンパニー,0,株式会社ウインカンパニーは主に一般貨物輸送を行っている会社である。平成14年11月に創業し、埼玉県川口市に本社がある。航空貨物の集荷やアパレル関連用品、自動車部品などの他、冷凍食品などの食品、テレビや映画のロケで使われる大道具や小道具など美術品も取り扱っている。平成23年1月に「安全性優良事業所認定」を取得している。,"運輸・物流業界, 冷凍冷蔵車運行",〒 333-0835 神奈川県横浜市青葉区田奈町７７番地６５－１０１,2002/11/1,三浦 多賀子,"8,000,000円",運送業,https://biz-maps.com/item/bdlAGN2nYv,,https://wynn-company.shop-pro.jp/customer/inquiries/new
有限会社北斗観光バス,0,有限会社北斗観光バスは、旅客運送事業を行っている会社である。千葉県内や東京都内を発着する貸切及び送迎バスの運行を手掛けている。第２種旅行業にも登録しており、旅行会社としての知識や経験も豊富である。大型から小型までのバスを少数精鋭のドライバーが運行している。安全運転はもちろんのこと、点検整備は完璧に行い、安全教育研修で常にドライバーの技術を磨いている。,"運輸・物流業界, バス, バス, 旅行, 旅行",〒 270-0233 千葉県野田市船形32-2,1999/4/15,瀬能　嘉都則,"10,000,000円","バス事業者, 公共社団法人バス協会, 公益社団法人 日本バス協会, 協会・組合, バス",https://biz-maps.com/item/6p1XEoWdlN,,https://www.hokutokankou.co.jp/contact/
有限会社カツミ商事,0,有限会社カツミ商事は、一般貸切旅客運送事業を行っている会社である。内外装を豪華仕様にした大型バスや中型バス、マイクロバスを所有しており、旅行の長い移動時間を快適に過ごせるように心掛けている。貸切バスや空港の送迎、東京観光などに対応しており、顧客の良い思い出となるサポートを行っている。事故の有無や研修の内容など運輸安全マネジメントに関する情報を公開している。,"運輸・物流業界, バス, バス",〒 278-0001 千葉県野田市目吹1543-6,/4,松本 勝美,"7,000,000円","公共社団法人バス協会, 協会・組合",https://biz-maps.com/item/D0YLgB5jZ9,,https://www.katsumi-kanko.com/inquiry/
株式会社アーバン物流,0,株式会社アーバン物流は、アパレルやファッション雑貨の物流や保管、管理を行う会社である。アパレル商品を中心とするファッション雑貨の荷受けから、検品やピッキングなどの流通加工・保管・チャーター便などの発送を行う。また、洋服のリパックや修正・汚れ落としなどを行うほか、ギフト商品の詰め合わせなども対応する。,"運輸・物流業界, 倉庫, 倉庫",〒 277-0861 千葉県柏市高田1061番地1,1999/11/9,詫摩 浩之,"23,240,000円","折り込み求人掲載, 運送業",https://biz-maps.com/item/3bZ9XVJxl5,,
株式会社坂田流通,0,株式会社坂田流通は、地域密着型の物流業として様々な配送サービスを行う会社である。千葉県全域を対象とした家庭紙・日用品の共同配送システムを提供。広域かつ配達物量の少ない房総半島エリアで、共同配送は特に喜ばれている。また受注・在庫管理・配送を一括で請け負う3PL事業も展開。所有する3倉庫で商品保管・管理も請け負う。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 270-0239 千葉県野田市泉1丁目3番地13,1995/9/4,坂田 泰彦,"10,000,000円","トラック協会会員企業, 運送業, 協会・組合",https://biz-maps.com/item/qJ15Qxnq1P,,http://www.sakata-ryutsu.com/contact/
合同会社JV,0,合同会社JVは、日本郵便浦安局販売代理店事業を行っている会社である。その他にも産業廃棄物収集運搬業や遺品整理、貨物運送などを行っている。また、第一種貨物利用運送事業や商品・DMの保管、納品代行なども行っている。梱包・包装資材の企画販売や保健衛生用品の販売、有料職業紹介も行っている。石油製品や化学工業薬品の販売も行っている。,"運輸・物流業界, 一般貨物輸送",〒 279-0023 千葉県浦安市高洲1丁目1番29-311号,2000/11,神野 紳一郎,"3,100,000円",有料職業紹介事業@一都三県,https://biz-maps.com/item/XyYKA3Galg,,https://jv-p.com/contact/
株式会社 アイアンドアイ,0,株式会社アイアンドアイは、貨物軽自動車運送事業を行う会社である。併せて、第一種貨物利用運送事業を行っている。具体的には、チャーター便や企業専属便、ルート便、ハンドキャリー便、引っ越し便、倉庫一時預かり等を展開している。チャーター便に関しては、独自の低料金システムで企業の物流コストの削減に貢献している点が強み。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 260-0832 千葉県千葉市中央区寒川町2-203-2,2005/2,藤永 興作,"10,000,000円","AI・ロボット, 運送業, indeed(業務委託), indeed",https://biz-maps.com/item/0mlzzXk6lO,,https://iandi-sp.jp/toiawase
株式会社インターアシスト,0,株式会社インターアシストは、流通に関わる様々な業務を顧客の代わりに行う事業を手掛ける会社である。具体的には、入庫業務・在庫照会・加工業務・受注業務・出荷対応など幅広く、さらに流通システムの開発も自社で行っている。顧客のニーズにスピーディーかつ柔軟に応えられ、すべてを完結させられる「ワンストップ物流」を掲げる。千葉・茨城・長野に計12の倉庫・事業所を構える。,"運輸・物流業界, 倉庫",〒 270-1406 千葉県白井市中402-3 ロジスクエア白井1F,2001/1/18,吉田 智充,"11,000,000円",-,https://biz-maps.com/item/WX1NJqk41j,,https://inter-assist.com/contact/
有限会社石橋興業,0,有限会社石橋興業は、一般貨物運送業や産業廃棄物収集運搬業などを行っている会社である。残業廃棄物の適正処理に力を入れており、資源循環型社会の構築に貢献できるようスタッフ1人ひとりが努めている。廃棄物処理のエキスパートとして顧客の要望に応えている。,"運輸・物流業界, 一般貨物輸送",〒 289-1082 千葉県山武市蓮沼ロ2774,1997/4/18,石橋 宗士,"3,000,000円",折り込み求人掲載,https://biz-maps.com/item/D0YLgBWQZ9,,https://ishibashikougyou.com/inquiry/
池谷運送株式会社,0,池谷運送株式会社は、貨物の運送を行う会社である。チャーター便やルート配送、混載便など用途に合わせた運送を行っている。また、コンテナドレージ業務や輸出入通関業務を行っている。2t平車や13t低床ウイング車、コンテナトレーラーなどで運送を行っている。,"運輸・物流業界, 一般貨物輸送",〒 270-0114 千葉県流山市東初石3-103-74,2000/6,池谷 淳,"10,000,000円",-,https://biz-maps.com/item/WQ187D3nY7,,http://ikeyatransport.jp/contact.html
株式会社丸庄運輸,0,株式会社丸庄運輸は、運送・物流サービスを提供する会社である。一般貨物運送業をはじめ、第一種貨物利用運送事業、一般自動車取扱事業、倉庫保管業（委託）、アウトソース事業・物流業務請負業、産業廃棄物収集運搬業・産業廃棄物処理業（委託）、保険取扱、新車・中古車販売、オークション代行業を手がけている。ニーズに合わせた「顧客」だけの物流システム・配送ルートを提案している。,"運輸・物流業界, 倉庫, 一般貨物輸送",〒 277-0812 千葉県柏市花野井767番地1,1995/6,渡邉 祐二,"30,000,000円","トラック協会会員企業, 運送業, 協会・組合",https://biz-maps.com/item/WX1NJq5D1j,,http://www.marusyou-tp.jp/contact.html
有限会社慶田産業,0,有限会社慶田産業は、敷鉄板リース事業を行っている会社である。敷鉄板は自社のメンテナンススタッフが管理し、豊富な在庫を持ち、高品質な製品を提供している。一般貨物自動車運送事業も取り扱っており、自社で運搬を行うので、顧客が運送会社の手配をする必要がなく、顧客のコスト削減にも貢献している。建設資材の一時保管場所として倉庫事業も取り扱う。,"運輸・物流業界, 重量物輸送, 倉庫",〒 272-0001 千葉県市川市二俣479 慶田ビル,1991/3,北澤 慎吾,"10,000,000円",運送業,https://biz-maps.com/item/85lWdOgyZg,,https://keida-co-jp.secure-web.jp/secure/contact.html
株式会社ＯＴＥＣ,0,株式会社OTECは、主に化学プラントにおいて物流荷役業務や一般土木工事・電気工事を行う会社である。プラント製造の荷役やプラント作業の他、原料や製品の船積み・水揚げなども請け負う。また電気工事、道路補修などの一般土木工事、トイレの改修といった屋内建設工事、補修工事などもプラント内での作業が主である。,"運輸・物流業界, 倉庫",〒 292-0052 千葉県木更津市祇園485-1,2004/1,奥田 勝大,"3,000,000円",-,https://biz-maps.com/item/PQ1p7429Yk,,https://www.o-tec.co.jp/contact/
株式会社バース,0,株式会社バースは、レンタルボックス事業を行う会社である。東京都・千葉県・神奈川県・埼玉県にて「ハッピーボックス」を経営しており、貸コンテナ・貸バイク収納専用ボックス・貸ミニ倉庫・貸地事業を行っている。海上運送用の丈夫なコンテナが特徴であり、顧客のニーズに合わせて6タイプのサイズを提供する。,"運輸・物流業界, 倉庫, 不動産賃貸・仲介",〒 270-0163 千葉県流山市南流山3-10-17 マリン流山ビル4F,1999/1,袴田 優,-,"一般社団法人千葉県宅地建物取引業協会, 倉庫保有, 倉庫保有",https://biz-maps.com/item/WQ187GLDY7,,https://www.birth-inc.co.jp/contact.php
株式会社小倉エンタープライズ,0,株式会社小倉エンタープライズは、新聞輸送や食品輸送を行う会社である。都内近郊の新聞印刷工場から千葉県全域などにある新聞販売店へ朝刊・夕刊の新聞輸送を行う。各スポーツ新聞の共同輸送・折り込み紙の配送も同エリアで対応。また、大手コンビニエンスストアーのセンターから店舗への常温配送業務やレストラン・居酒屋への生鮮食品等の冷凍・チルド配送業務も手掛ける。,"運輸・物流業界, 一般貨物輸送, 冷凍冷蔵車運行",〒 273-0045 千葉県船橋市山手3丁目7番20号,1995/7,小倉 登,"19,000,000円","トラック協会会員企業, 運送業, 協会・組合",https://biz-maps.com/item/3MYnb7EgY7,,http://oguraenterprise.com/contact.html
ディーケイ物流株式会社,0,ディーケイ物流株式会社は一般貨物自動車運送事業等を行う会社である。エリア配送や家電配送、チャーター便・スポット便等の配送業務を実施。エアコンやアンテナ等の一般家庭向け電気工事やオフィスのLED交換に対応。主な取引先は日産ディーゼルトラックス株式会社、千葉日野自動車株式会社、東京いすゞ自動車株式会社等。,"運輸・物流業界, 一般貨物輸送",〒 277-0005 千葉県柏市柏6丁目9番12号,2003/1/6,水留 茂之,"10,000,000円","ハローワーク(事務職採用×一都三県), トラック協会会員企業, 運送業, 協会・組合",https://biz-maps.com/item/kDZrx5Dn1G,,https://www.dk-daikoku.co.jp/contact/
株式会社ＳＨＩＮＳＥＩＴＲＡＮＳＰＯＲＴ,0,株式会社SHINSEI TRANSPORTは、一般貨物自動車運送事業を行っている企業である。建築資材や製材、電気機器などの運送業務を手掛けている。千葉県を中心に、関東一円から全国までを営業エリアとしている。また、ルート配送やスポット便、チャーター便なども請け負っている。その他、倉庫保管事業としてピッキングや流通加工、在庫管理なども手掛けている。,"運輸・物流業界, 一般貨物輸送, 冷凍冷蔵車運行, 倉庫, 重量物輸送",〒 289-1144 千葉県八街市八街ろ27-27,2007/1/25,齋藤 修,"3,000,000円",運送業,https://biz-maps.com/item/0W1wrR36YB,,
株式会社タジマ,0,株式会社タジマは、運送業を行っている会社である。ユニック車や平車による輸送を行っており、主にユニック車での足場資材や鉄筋、型枠材の輸送を手掛けている。1案件ごとの単発輸送、月極契約による常用輸送、据え付けや設置作業を行う付帯作業などのサービスを提供している。2tから15tの平車とユニック車のほか、大型リフトも所有している。その他の車両でも手配可能である。,"運輸・物流業界, 一般貨物輸送",〒 289-1124 千葉県八街市山田台650-26,2006/11,石川 志津馬,"10,000,000円",-,https://biz-maps.com/item/mJY2V7dVYM,,https://www.tajima.com/jp/contact/
千葉タクシー株式会社,0,千葉タクシー株式会社は、千葉県内でタクシー業務をする会社である。業務内容は一般タクシーの他、妊婦向けの陣痛タクシー、ハイヤー、車椅子可の福祉タクシー、事前に乗車料金が決まっている成田空港定額タクシー、多い荷物も載せられる成田エアポートタクシーの運送をする。県内で親しまれ、地元に密着した会社である。,"運輸・物流業界, タクシー",〒 266-0002 千葉県千葉市緑区平山町468番地79,1966/8,-,-,"youtube, 全国タクシー(タクシー事業者), グリーン経営, タクシー",https://biz-maps.com/item/0mlzzxmMlO,,https://chibataxi.jp/contact/
有限会社武藤自動車,0,有限会社武藤自動車は、千葉県市川市周辺を中心にタクシー事業を行っている企業である。24時間365時間体制で配車、予約に対応している。顧客の要望に沿った買物代行および配達サービスを展開している。介護と移動が一体となった、冠婚葬祭への出席や観光旅行のための介護タクシーや、お産の際の陣痛119番対応も行っている。,"運輸・物流業界, タクシー",〒 272-0812 千葉県市川市若宮3-49-13,1970/5/20,武藤 厚,"5,000,000円",-,https://biz-maps.com/item/PQ1p7eBgYk,,https://muto-taxi.co.jp/contact/
ＡＢＣ株式会社,0,ABC株式会社は、物流・配送事業、営業・事務処理支援事業を行う会社である。物流・配送事業では、専属ドライバーによるルート配送や印刷物等の封入・発送代行を行っている。営業・事務処理支援事業では、定期的な訪問活動による不動産業務支援ツールの営業支援を展開している。この他に、企業のプロモーション活動を支援するノベルティグッズの企画・製作に携わっている。,"運輸・物流業界, 一般貨物輸送",〒 272-0015 千葉県市川市鬼高4-1-7,2008/2/11,髙津　雄樹,"30,000,000円","職業紹介事業(令和4年～)@全国, キャリコネ(千葉県の企業ランキング), 内部統制・コンプライアンス推進企業, 地域貢献活動を推進している企業, リサイクル・廃棄物処理, トラック協会会員企業, Vorkersコールセンター・業務請負業界の企業, 運送業",https://biz-maps.com/item/bkZR0DEj1B,,https://abc-c.co.jp/contact
有限会社ＥＡＧＬＥ ＣＡＲＧＯ ＳＥＲＶＩＣＥ,0,有限会社EAGLE CARGO SERVICEは、運送と食品加工をする会社である。生鮮輸送を中心に日本全国へ輸送している。大型冷蔵ウィング、大型低床冷蔵ウィングから小型まで車両を保有し、徹底した温度管理で日本全国に輸送している。食品加工については、輸入及び国産野菜を扱っており、野菜の袋詰め作業や検品作業など常時対応が取れる状態となっている。,"運輸・物流業界, 冷凍冷蔵車運行",〒 289-1606 千葉県山武郡芝山町山田1118-1,2005/4,髙橋義明,"8,000,000円","トラック協会会員企業, 協会・組合",https://biz-maps.com/item/jg16bLgw19,,https://www.h611597.bizloop.jp/f454970/est/?s=s2
ＧＬＯＲＹＳＵＰＰＯＲＴ株式会社,0,GLORY SUPPORT株式会社は、廃棄物収集運搬事業を行っている企業である。千葉県成田市にて産業廃棄物や一般廃棄物の収集運搬サービス、資源廃棄物のリサイクル事業を行っている。,"運輸・物流業界, 一般貨物輸送",〒 286-0117 千葉県成田市三里塚光ヶ丘1-1314-105,2001/6/27,伊藤 隆治,"11,000,000円","決算月4月・5月企業@一都三県, 運送業",https://biz-maps.com/item/D0YLgEP7Z9,,https://www.glorysupport.co.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/
サン・ロジスティクス株式会社,0,サン・ロジスティクス株式会社は、物流業務を行う会社である。荷主企業の業務効率化を目的に、保管・荷役・運送といった物流業務全般を一括して引き受ける3PLサービスを提供している。また、高品質なサービスの提供と効率化による物流コストの低減化を目指し最短納品リードタイムを実現させた「サンロジステム」を完成し、絶大なる賛同を得ている。,"運輸・物流業界, 一般貨物輸送, 倉庫, 一般貨物輸送, 倉庫",〒 272-0836 千葉県市川市北国分3丁目16番17号,2007/7/5,堀　賢司,"10,000,000円",運送業,https://biz-maps.com/item/B2ZBLm6a1V,,http://www.san-logi.co.jp/company/
株式会社君津運送,0,重量物運搬や送迎バスの運行を請け負う会社,"運輸・物流業界, 重量物輸送, バス",〒 299-1146 千葉県君津市大和田580,1980/4/17,武田 富士子,"30,000,000円","トラック協会会員企業, 運送業, 協会・組合",https://biz-maps.com/item/V2lkORDDl5,,https://www.kimitu-unsou.com/contact
宝塚運行サービス株式会社,0,空港貨物や介護用品の物流サービスを展開している会社,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 286-0121 千葉県成田市駒井野2091 成田国際空港第2貨物代理店ビル412号室,/12,前田 隆義,"10,000,000円","リサイクル・廃棄物処理, トラック協会会員企業, 協会・組合",https://biz-maps.com/item/XJ1GXQW3lQ,,https://takarazuka-ts.co.jp/contact/
